exception_id,is_anomaly,anomaly_type,severity,explanation
EXC-0073,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0479,False,NONE,NONE,Normal active exception within policy.
EXC-0320,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 298 days (>180) without renewal.
EXC-0441,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0331,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 362 days (>180) without renewal.
EXC-0408,True,STALLED_REVIEW,MEDIUM,Exception pending review for 50 days (>30).
EXC-0487,False,NONE,NONE,Normal active exception within policy.
EXC-0499,False,NONE,NONE,Normal active exception within policy.
EXC-0444,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0488,False,NONE,NONE,Normal active exception within policy.
EXC-0188,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0522,False,NONE,NONE,Normal active exception within policy.
EXC-0394,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 296 days (>90) without review.
EXC-0477,False,NONE,NONE,Normal active exception within policy.
EXC-0164,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0419,True,STALLED_REVIEW,MEDIUM,Exception pending review for 69 days (>30).
EXC-0368,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 229 days (>90) without review.
EXC-0341,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 368 days (>180) without renewal.
EXC-0315,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 291 days (>180) without renewal.
EXC-0240,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-10-15 but still marked ACTIVE.
EXC-0439,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0113,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0278,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-09-01 but still marked ACTIVE.
EXC-0146,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0356,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 311 days (>90) without review.
EXC-0267,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-11-11 but still marked ACTIVE.
EXC-0183,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0526,False,NONE,NONE,Normal active exception within policy.
EXC-0575,False,NONE,NONE,Normal active exception within policy.
EXC-0404,True,STALLED_REVIEW,MEDIUM,Exception pending review for 104 days (>30).
EXC-0280,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-08-21 but still marked ACTIVE.
EXC-0495,False,NONE,NONE,Normal active exception within policy.
EXC-0036,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0535,False,NONE,NONE,Normal active exception within policy.
EXC-0264,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-12-28 but still marked ACTIVE.
EXC-0152,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0378,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 295 days (>90) without review.
EXC-0203,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0221,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0283,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-07-12 but still marked ACTIVE.
EXC-0129,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0512,False,NONE,NONE,Normal active exception within policy.
EXC-0276,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-06-17 but still marked ACTIVE.
EXC-0279,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-08-19 but still marked ACTIVE.
EXC-0172,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0582,False,NONE,NONE,Normal active exception within policy.
EXC-0035,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0008,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0044,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0137,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0396,True,STALLED_REVIEW,MEDIUM,Exception pending review for 52 days (>30).
EXC-0588,False,NONE,NONE,Normal active exception within policy.
EXC-0465,False,NONE,NONE,Normal active exception within policy.
EXC-0401,True,STALLED_REVIEW,MEDIUM,Exception pending review for 175 days (>30).
EXC-0474,False,NONE,NONE,Normal active exception within policy.
EXC-0257,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-08-30 but still marked ACTIVE.
EXC-0508,False,NONE,NONE,Normal active exception within policy.
EXC-0578,False,NONE,NONE,Normal active exception within policy.
EXC-0017,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0285,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-11-12 but still marked ACTIVE.
EXC-0323,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 343 days (>180) without renewal.
EXC-0242,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-12-23 but still marked ACTIVE.
EXC-0365,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 207 days (>90) without review.
EXC-0425,True,STALLED_REVIEW,MEDIUM,Exception pending review for 82 days (>30).
EXC-0563,False,NONE,NONE,Normal active exception within policy.
EXC-0600,False,NONE,NONE,Normal active exception within policy.
EXC-0501,False,NONE,NONE,Normal active exception within policy.
EXC-0293,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-08-14 but still marked ACTIVE.
EXC-0012,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0005,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0043,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0446,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0105,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0400,True,STALLED_REVIEW,MEDIUM,Exception pending review for 55 days (>30).
EXC-0380,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 301 days (>90) without review.
EXC-0386,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 239 days (>90) without review.
EXC-0087,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0145,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0362,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 286 days (>90) without review.
EXC-0136,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0532,False,NONE,NONE,Normal active exception within policy.
EXC-0189,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0328,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 359 days (>180) without renewal.
EXC-0239,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-11-21 but still marked ACTIVE.
EXC-0208,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0585,False,NONE,NONE,Normal active exception within policy.
EXC-0123,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0383,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 317 days (>90) without review.
EXC-0022,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0435,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0407,True,STALLED_REVIEW,MEDIUM,Exception pending review for 98 days (>30).
EXC-0374,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 281 days (>90) without review.
EXC-0469,False,NONE,NONE,Normal active exception within policy.
EXC-0306,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 326 days (>180) without renewal.
EXC-0084,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0312,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 312 days (>180) without renewal.
EXC-0564,False,NONE,NONE,Normal active exception within policy.
EXC-0063,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0125,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0525,False,NONE,NONE,Normal active exception within policy.
EXC-0167,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0148,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0099,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0460,False,NONE,NONE,Normal active exception within policy.
EXC-0219,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0037,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0133,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0070,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0452,False,NONE,NONE,Normal active exception within policy.
EXC-0350,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 344 days (>180) without renewal.
EXC-0480,False,NONE,NONE,Normal active exception within policy.
EXC-0102,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0463,False,NONE,NONE,Normal active exception within policy.
EXC-0169,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0295,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-06-06 but still marked ACTIVE.
EXC-0088,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0415,True,STALLED_REVIEW,MEDIUM,Exception pending review for 115 days (>30).
EXC-0032,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0080,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0118,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0079,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0160,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0392,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 204 days (>90) without review.
EXC-0497,False,NONE,NONE,Normal active exception within policy.
EXC-0555,False,NONE,NONE,Normal active exception within policy.
EXC-0218,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0491,False,NONE,NONE,Normal active exception within policy.
EXC-0030,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0484,False,NONE,NONE,Normal active exception within policy.
EXC-0122,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0319,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 366 days (>180) without renewal.
EXC-0185,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0473,False,NONE,NONE,Normal active exception within policy.
EXC-0168,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0583,False,NONE,NONE,Normal active exception within policy.
EXC-0593,False,NONE,NONE,Normal active exception within policy.
EXC-0513,False,NONE,NONE,Normal active exception within policy.
EXC-0090,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0370,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 279 days (>90) without review.
EXC-0537,False,NONE,NONE,Normal active exception within policy.
EXC-0138,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0220,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0456,False,NONE,NONE,Normal active exception within policy.
EXC-0443,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0130,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0018,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0464,False,NONE,NONE,Normal active exception within policy.
EXC-0180,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0057,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0135,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0485,False,NONE,NONE,Normal active exception within policy.
EXC-0596,False,NONE,NONE,Normal active exception within policy.
EXC-0238,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-12-30 but still marked ACTIVE.
EXC-0289,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-06-19 but still marked ACTIVE.
EXC-0265,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-11-17 but still marked ACTIVE.
EXC-0126,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0078,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0542,False,NONE,NONE,Normal active exception within policy.
EXC-0541,False,NONE,NONE,Normal active exception within policy.
EXC-0083,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0531,False,NONE,NONE,Normal active exception within policy.
EXC-0471,False,NONE,NONE,Normal active exception within policy.
EXC-0040,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0120,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0334,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 340 days (>180) without renewal.
EXC-0363,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 210 days (>90) without review.
EXC-0299,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-10-20 but still marked ACTIVE.
EXC-0423,True,STALLED_REVIEW,MEDIUM,Exception pending review for 185 days (>30).
EXC-0406,True,STALLED_REVIEW,MEDIUM,Exception pending review for 190 days (>30).
EXC-0034,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0273,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-09-08 but still marked ACTIVE.
EXC-0402,True,STALLED_REVIEW,MEDIUM,Exception pending review for 128 days (>30).
EXC-0332,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 349 days (>180) without renewal.
EXC-0110,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0011,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0326,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 378 days (>180) without renewal.
EXC-0579,False,NONE,NONE,Normal active exception within policy.
EXC-0132,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0045,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0048,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0020,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0458,False,NONE,NONE,Normal active exception within policy.
EXC-0388,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 229 days (>90) without review.
EXC-0358,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 229 days (>90) without review.
EXC-0352,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 303 days (>180) without renewal.
EXC-0422,True,STALLED_REVIEW,MEDIUM,Exception pending review for 169 days (>30).
EXC-0186,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0051,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0155,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0417,True,STALLED_REVIEW,MEDIUM,Exception pending review for 45 days (>30).
EXC-0502,False,NONE,NONE,Normal active exception within policy.
EXC-0375,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 246 days (>90) without review.
EXC-0095,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0504,False,NONE,NONE,Normal active exception within policy.
EXC-0342,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 321 days (>180) without renewal.
EXC-0346,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 331 days (>180) without renewal.
EXC-0163,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0391,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 255 days (>90) without review.
EXC-0345,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 343 days (>180) without renewal.
EXC-0200,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0159,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0530,False,NONE,NONE,Normal active exception within policy.
EXC-0249,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-08-05 but still marked ACTIVE.
EXC-0227,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-11-30 but still marked ACTIVE.
EXC-0004,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0545,False,NONE,NONE,Normal active exception within policy.
EXC-0518,False,NONE,NONE,Normal active exception within policy.
EXC-0413,True,STALLED_REVIEW,MEDIUM,Exception pending review for 99 days (>30).
EXC-0355,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 349 days (>180) without renewal.
EXC-0494,False,NONE,NONE,Normal active exception within policy.
EXC-0107,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0224,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0539,False,NONE,NONE,Normal active exception within policy.
EXC-0301,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-10-21 but still marked ACTIVE.
EXC-0171,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0424,True,STALLED_REVIEW,MEDIUM,Exception pending review for 171 days (>30).
EXC-0251,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-11-11 but still marked ACTIVE.
EXC-0528,False,NONE,NONE,Normal active exception within policy.
EXC-0505,False,NONE,NONE,Normal active exception within policy.
EXC-0366,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 257 days (>90) without review.
EXC-0244,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-09-24 but still marked ACTIVE.
EXC-0421,True,STALLED_REVIEW,MEDIUM,Exception pending review for 60 days (>30).
EXC-0384,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 316 days (>90) without review.
EXC-0100,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0389,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 307 days (>90) without review.
EXC-0559,False,NONE,NONE,Normal active exception within policy.
EXC-0511,False,NONE,NONE,Normal active exception within policy.
EXC-0461,False,NONE,NONE,Normal active exception within policy.
EXC-0572,False,NONE,NONE,Normal active exception within policy.
EXC-0144,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0190,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0173,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0223,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0158,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0027,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0116,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0209,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0307,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 296 days (>180) without renewal.
EXC-0009,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0139,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0496,False,NONE,NONE,Normal active exception within policy.
EXC-0379,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 211 days (>90) without review.
EXC-0076,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0201,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0274,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-11-04 but still marked ACTIVE.
EXC-0016,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0291,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-07-04 but still marked ACTIVE.
EXC-0038,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0065,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0523,False,NONE,NONE,Normal active exception within policy.
EXC-0074,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0042,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0324,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 311 days (>180) without renewal.
EXC-0193,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0305,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-10-23 but still marked ACTIVE.
EXC-0571,False,NONE,NONE,Normal active exception within policy.
EXC-0029,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0432,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0075,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0196,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0013,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0397,True,STALLED_REVIEW,MEDIUM,Exception pending review for 161 days (>30).
EXC-0448,False,NONE,NONE,Normal active exception within policy.
EXC-0217,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0147,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0481,False,NONE,NONE,Normal active exception within policy.
EXC-0246,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-09-07 but still marked ACTIVE.
EXC-0181,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0060,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0166,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0258,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-07-17 but still marked ACTIVE.
EXC-0544,False,NONE,NONE,Normal active exception within policy.
EXC-0489,False,NONE,NONE,Normal active exception within policy.
EXC-0177,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0149,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0568,False,NONE,NONE,Normal active exception within policy.
EXC-0529,False,NONE,NONE,Normal active exception within policy.
EXC-0112,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0514,False,NONE,NONE,Normal active exception within policy.
EXC-0154,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0558,False,NONE,NONE,Normal active exception within policy.
EXC-0377,True,HIGH_RISK_LONG_EXCEPTION,HIGH,High-risk exception active for 297 days (>90) without review.
EXC-0071,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0440,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0349,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 311 days (>180) without renewal.
EXC-0151,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0551,False,NONE,NONE,Normal active exception within policy.
EXC-0581,False,NONE,NONE,Normal active exception within policy.
EXC-0570,False,NONE,NONE,Normal active exception within policy.
EXC-0426,True,CRITICAL_RISK_EXCEPTION,CRITICAL,Critical risk exception requiring immediate re-review.
EXC-0215,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0197,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0311,True,LONG_RUNNING_EXCEPTION,HIGH,Exception running for 372 days (>180) without renewal.
EXC-0405,True,STALLED_REVIEW,MEDIUM,Exception pending review for 86 days (>30).
EXC-0199,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0482,False,NONE,NONE,Normal active exception within policy.
EXC-0066,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0089,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0297,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-10-16 but still marked ACTIVE.
EXC-0091,False,NONE,NONE,"Clean lifecycle, properly revoked."
EXC-0515,False,NONE,NONE,Normal active exception within policy.
EXC-0459,False,NONE,NONE,Normal active exception within policy.
EXC-0300,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-11-22 but still marked ACTIVE.
EXC-0569,False,NONE,NONE,Normal active exception within policy.
EXC-0284,True,EXPIRED_ACTIVE_EXCEPTION,CRITICAL,Exception expired on 2025-07-21 but still marked ACTIVE.
